職種,年収_min,年収_max,年収_mean
データエンジニア,420,1500,960.0
データエンジニア,500,699,599.5
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,500,949,724.5
データエンジニア,420,1500,960.0
データエンジニア,400,949,674.5
データエンジニア,420,1500,960.0
データエンジニア,412,700,556.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,400,430,415.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,420,1500,960.0
データエンジニア,850,1100,975.0
データエンジニア,600,900,750.0
データエンジニア,500,1000,750.0
データエンジニア,500,1200,850.0
データエンジニア,600,1200,900.0
データエンジニア,500,750,625.0
データエンジニア,500,1100,800.0
データエンジニア,600,1100,850.0
データエンジニア,550,900,725.0
データエンジニア,650,800,725.0
データエンジニア,500,900,700.0
データアナリスト,400,1000,700.0
データアナリスト,400,700,550.0
データアナリスト,500,1500,1000.0
データアナリスト,1100,1100,1100.0
データアナリスト,400,600,500.0
データアナリスト,500,800,650.0
データアナリスト,400,1000,700.0
データアナリスト,500,900,700.0
データアナリスト,400,600,500.0
データアナリスト,600,1000,800.0
データアナリスト,600,1200,900.0
データアナリスト,600,1000,800.0
データアナリスト,600,1200,900.0
データアナリスト,400,600,500.0
データアナリスト,350,800,575.0
データアナリスト,400,800,600.0
データアナリスト,500,1000,750.0
データアナリスト,300,500,400.0
データアナリスト,350,1500,925.0
データアナリスト,350,800,575.0
データアナリスト,252,300,276.0
データアナリスト,500,1000,750.0
データアナリスト,350,600,475.0
データアナリスト,500,799,649.5
データアナリスト,350,600,475.0
データアナリスト,600,800,700.0
データアナリスト,500,1200,850.0
データアナリスト,500,1000,750.0
データアナリスト,400,500,450.0
データアナリスト,500,1000,750.0
データアナリスト,400,800,600.0
データアナリスト,800,800,800.0
データアナリスト,600,1200,900.0
データアナリスト,550,550,550.0
データアナリスト,400,649,524.5
データアナリスト,400,700,550.0
データアナリスト,400,649,524.5
データアナリスト,400,700,550.0
データアナリスト,1000,1499,1249.5
データアナリスト,700,949,824.5
データアナリスト,400,600,500.0
データアナリスト,450,650,550.0
データアナリスト,500,1049,774.5
データアナリスト,700,899,799.5
データアナリスト,600,1249,924.5
データアナリスト,450,599,524.5
データアナリスト,500,500,500.0
データアナリスト,600,1000,800.0
データアナリスト,600,1000,800.0
データアナリスト,600,849,724.5
データアナリスト,360,537,448.5
データアナリスト,600,1000,800.0
データアナリスト,360,537,448.5
データアナリスト,600,1000,800.0
データアナリスト,600,1000,800.0
データアナリスト,500,1000,750.0
データアナリスト,600,800,700.0
データアナリスト,500,750,625.0
データアナリスト,600,1100,850.0
データアナリスト,500,800,650.0
データアナリスト,300,900,600.0
データアナリスト,300,400,350.0
データアナリスト,500,750,625.0
データアナリスト,350,800,575.0
データアナリスト,400,550,475.0
データアナリスト,350,800,575.0
データアナリスト,320,350,335.0
データアナリスト,600,1000,800.0
データアナリスト,480,720,600.0
データアナリスト,500,1000,750.0
データアナリスト,600,900,750.0
データアナリスト,700,900,800.0
データアナリスト,600,1000,800.0
データアナリスト,500,1000,750.0
データアナリスト,600,850,725.0
データアナリスト,300,500,400.0
データアナリスト,360,800,580.0
データアナリスト,500,1000,750.0
データアナリスト,600,1000,800.0
データアナリスト,500,800,650.0
データアナリスト,600,800,700.0
データアナリスト,400,600,500.0
データアナリスト,600,1149,874.5
データアナリスト,330,400,365.0
データアナリスト,400,749,574.5
データアナリスト,500,1000,750.0
データアナリスト,400,1499,949.5
データアナリスト,500,949,724.5
